Epoch,Loss
0,0.6540741
1,0.5703072
2,0.5185479
3,0.4738928
4,0.46534368
5,0.45892668
6,0.45447373
7,0.45098197
8,0.4476033
9,0.4441277
10,0.44068727
11,0.43740767
12,0.43429387
13,0.43128863
14,0.42833653
15,0.4254062
16,0.42249435
17,0.41961765
18,0.41679794
19,0.41405106
20,0.4113787
21,0.40877104
22,0.40621158
23,0.4036861
24,0.4011877
25,0.39871332
26,0.39626494
27,0.39384916
28,0.39146814
29,0.3891182
30,0.38679335
31,0.38448843
32,0.3822032
33,0.37994266
34,0.3777113
35,0.37551203
36,0.37334785
37,0.37121958
38,0.36912534
39,0.36706322
40,0.3650355
41,0.36304402
42,0.36108837
43,0.35916597
44,0.35727447
45,0.3554126
46,0.35358143
47,0.3517821
48,0.35001445
49,0.34827787
50,0.34657198
51,0.344895
52,0.34324285
53,0.3416099
54,0.33999392
55,0.33839497
56,0.33681342
57,0.33524835
58,0.33369935
59,0.33216596
60,0.33064738
61,0.32914206
62,0.32764816
63,0.32616514
64,0.32469395
65,0.32323542
66,0.32179043
67,0.32036054
68,0.3189469
69,0.3175498
70,0.31616807
71,0.31479877
72,0.31343988
73,0.3120893
74,0.3107467
75,0.30941498
76,0.3080991
77,0.30679902
78,0.30550992
79,0.30422828
80,0.30295402
81,0.30168936
82,0.30043358
83,0.2991864
84,0.2979474
85,0.2967165
86,0.2954931
87,0.29427707
88,0.29306683
89,0.2918626
90,0.29066372
91,0.28947198
92,0.2882887
93,0.287114
94,0.2859497
95,0.2847997
96,0.28365922
97,0.2825229
98,0.28139284
99,0.28027406
100,0.2791684
101,0.27807552
102,0.27699348
103,0.27592167
104,0.27485922
105,0.2738061
106,0.27276456
107,0.27173713
108,0.27072442
109,0.26972723
110,0.2687441
111,0.26777214
112,0.2668154
113,0.2658788
114,0.26499045
115,0.2642855
116,0.2637465
117,0.26310325
118,0.26149255
119,0.2609519
120,0.2601912
121,0.2588988
122,0.25839072
123,0.25740504
124,0.25645754
125,0.2557431
126,0.254877
127,0.2539623
128,0.25330967
129,0.25238726
130,0.25159708
131,0.2509517
132,0.250032
133,0.24933304
134,0.24866123
135,0.24787532
136,0.24709825
137,0.24638692
138,0.2457175
139,0.2450656
140,0.24439582
141,0.24369814
142,0.24303426
143,0.24233663
144,0.24166219
145,0.2410563
146,0.24050009
147,0.23999491
148,0.23968232
149,0.23922965
150,0.23824385
151,0.23720443
152,0.23683912
153,0.23639853
154,0.23569009
155,0.23487744
156,0.23435783
157,0.23376326
158,0.23314106
159,0.23257871
160,0.23201087
161,0.23130861
162,0.23075332
163,0.23027779
164,0.22975703
165,0.22930558
166,0.22885484
167,0.22857438
168,0.22846231
169,0.2279578
170,0.22692348
171,0.22610655
172,0.22592132
173,0.2257227
174,0.22465707
175,0.22399844
176,0.22384033
177,0.22326052
178,0.22255793
179,0.22213428
180,0.2217718
181,0.22122571
182,0.22090077
183,0.22043298
184,0.22010025
185,0.22018836
186,0.22012855
187,0.22002585
188,0.21894433
189,0.2186221
190,0.21813567
191,0.21754032
192,0.2171086
193,0.21679908
194,0.21616507
195,0.21584345
196,0.21527097
197,0.21502182
198,0.21444859
199,0.21412617
200,0.2136892
201,0.21328573
202,0.2129942
203,0.21258853
204,0.21220724
205,0.21189746
206,0.21147126
207,0.21115506
208,0.21079227
209,0.21048906
210,0.21013191
211,0.20991698
212,0.20985018
213,0.21023996
214,0.21140164
215,0.21088192
216,0.20901509
217,0.20937137
218,0.20906071
219,0.2081179
220,0.20853697
221,0.20747286
222,0.20752522
223,0.20702499
224,0.20658524
225,0.20651065
226,0.20586672
227,0.205896
228,0.20533751
229,0.20515569
230,0.20485123
231,0.20438775
232,0.20422813
233,0.2036701
234,0.20338263
235,0.20286365
236,0.2024577
237,0.20327535
238,0.20913598
239,0.22217225
240,0.2132317
241,0.21221922
242,0.21284011
243,0.21138093
244,0.21061194
245,0.2095615
246,0.20865172
247,0.20748922
248,0.20673135
249,0.20619398
250,0.20539288
251,0.20474312
252,0.20407104
253,0.20339265
254,0.2029392
255,0.20244458
256,0.20188805
257,0.20140144
258,0.20087783
259,0.20041832
260,0.19999352
261,0.19959055
262,0.19916824
263,0.19874318
264,0.19840406
265,0.19804054
266,0.19768092
267,0.19732504
268,0.19699663
269,0.19664934
270,0.19632396
271,0.1960136
272,0.19570248
273,0.19537845
274,0.1950872
275,0.19479118
276,0.19451326
277,0.19424167
278,0.1939693
279,0.19369888
280,0.19344755
281,0.19319528
282,0.19295195
283,0.19271055
284,0.19246998
285,0.19223922
286,0.19200769
287,0.19178534
288,0.19156376
289,0.19134563
290,0.19113423
291,0.19092326
292,0.19071725
293,0.19052981
294,0.19039752
295,0.19054978
296,0.19178362
297,0.19532768
298,0.19373468
299,0.19115105
300,0.19275945
301,0.1905463
302,0.19143699
303,0.19023332
304,0.19044264
305,0.1897157
306,0.1897887
307,0.1892732
308,0.18913975
309,0.18882981
310,0.18859217
311,0.18831258
312,0.18811736
313,0.18786319
314,0.18771248
315,0.18742079
316,0.18731336
317,0.18702167
318,0.1869077
319,0.18665077
320,0.18652144
321,0.18631461
322,0.18616456
323,0.18596797
324,0.18581404
325,0.18565391
326,0.18547846
327,0.18534364
328,0.18515816
329,0.18503256
330,0.18485346
331,0.18473329
332,0.18454851
333,0.18442912
334,0.18425407
335,0.18410036
336,0.18393146
337,0.18374752
338,0.18356284
339,0.18337864
340,0.18308458
341,0.1823707
342,0.18196449
343,0.18167284
344,0.18149368
345,0.1813576
346,0.1811316
347,0.18097417
348,0.18077248
349,0.18058518
350,0.18044017
351,0.1803424
352,0.18025747
353,0.1802786
354,0.1804434
355,0.18081328
356,0.18057598
357,0.17985664
358,0.17937052
359,0.17964357
360,0.17974713
361,0.17910616
362,0.17893624
