Epoch,Loss
0,1.1815388
1,1.1713533
2,1.1618645
3,1.1660826
4,1.1672117
5,1.1610457
6,1.1624836
7,1.1652963
8,1.1701739
9,1.1699266
10,1.1644825
11,1.1564415
12,1.1586165
13,1.1510854
14,1.1585897
15,1.1468318
16,1.1478508
17,1.1438982
18,1.1462644
19,1.1452067
20,1.1439008
21,1.1436558
22,1.141599
23,1.1426079
24,1.1434032
25,1.1443626
26,1.1433839
27,1.1439381
28,1.1450101
29,1.1427954
30,1.147017
31,1.1465
32,1.1453515
33,1.1434681
34,1.1438743
35,1.1407304
36,1.1426299
37,1.1434697
38,1.1441151
39,1.1371534
40,1.1420116
41,1.1416589
42,1.1393026
43,1.1369747
44,1.1347822
45,1.1333951
46,1.1338735
47,1.1342163
48,1.1348649
49,1.1313622
50,1.1349404
51,1.1345047
52,1.1325791
53,1.1378001
54,1.1313362
55,1.1343591
56,1.1353561
57,1.1337026
58,1.1339399
59,1.1333365
60,1.1428614
61,1.1288902
62,1.1318104
63,1.1472011
64,1.1322109
65,1.1303892
66,1.1515708
67,1.1304728
68,1.1283103
69,1.1392593
70,1.1318507
71,1.1284262
72,1.1290128
73,1.1284838
74,1.1428028
75,1.1312395
76,1.1249617
77,1.124386
78,1.1297151
79,1.1331265
80,1.1368781
81,1.1313124
82,1.1247741
83,1.1235129
84,1.12533
85,1.1245496
86,1.1228526
87,1.1244359
88,1.1245763
89,1.1229643
90,1.1235653
91,1.1177955
92,1.1228038
93,1.1209521
94,1.1298655
95,1.1208167
96,1.1141038
97,1.1072071
98,1.1375042
99,1.1129564
100,1.1066647
101,1.1108742
102,1.109073
103,1.1083769
104,1.1031051
105,1.1057067
106,1.1019073
107,1.1079916
108,1.1056305
109,1.1095061
110,1.1081551
111,1.098282
112,1.0985935
113,1.1158149
114,1.108681
115,1.0971001
116,1.1096413
117,1.0992273
118,1.0962808
119,1.1162099
120,1.0983387
121,1.093839
122,1.1001742
123,1.1100429
124,1.1001526
125,1.1011869
126,1.1059389
127,1.0936786
128,1.1005017
129,1.1071533
130,1.116077
131,1.1056191
132,1.1063607
133,1.1045939
134,1.1141535
135,1.1286734
136,1.1128503
137,1.1161088
138,1.1151837
139,1.1032612
140,1.102554
141,1.103911
142,1.0996641
143,1.0879587
144,1.0999491
145,1.1004562
146,1.0920312
147,1.086715
148,1.1129588
149,1.1033564
150,1.0925668
151,1.0879937
152,1.0979892
153,1.0874913
154,1.0959097
155,1.0925301
156,1.0949746
157,1.0961623
158,1.0903462
159,1.0941975
160,1.1076664
161,1.088494
162,1.0890061
163,1.089008
164,1.0938647
165,1.0942062
166,1.0901732
167,1.09601
168,1.0897986
169,1.0881052
170,1.0942659
171,1.0885963
172,1.0861253
173,1.1054884
174,1.097878
175,1.0862017
176,1.0891491
177,1.086469
178,1.1029291
179,1.0864697
180,1.0870416
181,1.0936288
182,1.1036382
183,1.0913535
184,1.0862553
185,1.0981318
186,1.0905236
187,1.0868213
188,1.093111
189,1.0890651
190,1.0892485
191,1.0928537
192,1.0931687
193,1.0828778
194,1.0887554
195,1.0942559
196,1.0936539
197,1.0880492
198,1.0940341
199,1.0952406
200,1.1146282
201,1.0865414
202,1.0901222
203,1.086759
204,1.0835252
205,1.0896616
206,1.0861343
207,1.0881186
208,1.0890851
209,1.0879251
210,1.0891683
211,1.089931
212,1.086212
213,1.0887976
214,1.0951594
215,1.0936054
216,1.0857705
217,1.0891457
218,1.0891389
219,1.0909612
220,1.0877687
221,1.0910212
222,1.0926718
223,1.0858059
224,1.0942965
225,1.0894629
226,1.0894268
227,1.0920764
228,1.0949626
229,1.088703
230,1.0859404
231,1.0859512
232,1.0867615
233,1.0772576
234,1.0832134
235,1.0811083
236,1.0780947
237,1.0847647
238,1.077553
239,1.0784551
240,1.0896484
241,1.0823467
242,1.081228
243,1.083595
244,1.0853003
245,1.0815017
246,1.0827374
247,1.0806779
248,1.0828061
249,1.0821898
250,1.0767465
251,1.0882821
252,1.0785071
253,1.0792048
254,1.079357
255,1.0777588
256,1.0771588
257,1.0907034
258,1.0835319
259,1.0786833
260,1.0849633
261,1.075463
262,1.0828831
263,1.0836763
264,1.0855615
265,1.08107
266,1.0861763
267,1.0888312
268,1.076311
269,1.0789092
270,1.0836425
271,1.0779136
272,1.081473
273,1.0870622
274,1.077178
275,1.0776899
276,1.0817757
277,1.079733
278,1.0854499
279,1.0830863
280,1.0856271
281,1.0823203
282,1.0830623
283,1.0895851
284,1.0837721
285,1.0841352
286,1.080107
287,1.086652
288,1.0840515
289,1.0848718
290,1.0836554
291,1.0822947
292,1.0829111
293,1.0806615
294,1.0808198
295,1.0799669
296,1.0744252
297,1.0809116
298,1.0836239
299,1.0856386
300,1.0827134
301,1.0864321
302,1.0845194
303,1.0809296
304,1.0828685
305,1.0855142
306,1.0876162
307,1.0828991
308,1.0821236
309,1.0797956
310,1.0800338
311,1.0792851
312,1.0875485
313,1.0926024
314,1.0818629
315,1.0822594
316,1.0824543
317,1.0796778
318,1.0808252
319,1.0818715
320,1.085185
321,1.0816774
322,1.086413
323,1.0849317
324,1.0817533
325,1.0890701
326,1.0820813
327,1.0883048
328,1.082054
329,1.0815616
330,1.0838324
331,1.0871388
332,1.0897018
333,1.0847155
334,1.0810332
335,1.0850855
336,1.0796953
337,1.0814759
338,1.0788954
339,1.0822377
340,1.097632
341,1.0829746
342,1.0804389
343,1.079931
344,1.0810341
345,1.08234
346,1.0800304
347,1.0810833
348,1.0816187
349,1.0827254
350,1.0831609
351,1.0833946
352,1.0828204
353,1.0814399
354,1.0801998
355,1.0793647
356,1.0829353
357,1.0781751
358,1.0806328
359,1.0827948
360,1.0865756
361,1.0807422
362,1.0835253
363,1.0815991
364,1.0811936
365,1.0797529
366,1.0861952
367,1.0786846
368,1.0836637
369,1.0789578
370,1.085537
371,1.0842874
372,1.0829886
373,1.0769786
374,1.0811223
375,1.0806307
376,1.0931244
377,1.0811119
378,1.0793009
379,1.0848521
380,1.0807241
381,1.0815263
382,1.0803819
383,1.0783911
384,1.0873432
385,1.0841095
386,1.0913444
387,1.0830594
388,1.0868711
389,1.0788257
390,1.084263
391,1.0807155
392,1.0788577
393,1.080399
394,1.0875193
395,1.0799537
396,1.0820528
397,1.0864294
398,1.0805502
399,1.0774392
400,1.0879626
401,1.0819373
402,1.0817072
403,1.0909554
404,1.0881027
405,1.0847379
406,1.0811279
407,1.0774124
408,1.0834235
409,1.0842018
410,1.0768564
411,1.0832177
412,1.0803146
413,1.0856334
414,1.0838499
415,1.0808432
416,1.0781432
417,1.0834991
418,1.0799795
419,1.0814773
420,1.077215
421,1.08607
422,1.0785228
423,1.0838363
424,1.0885786
425,1.0812393
426,1.0889136
427,1.0805854
428,1.0784425
429,1.0831306
430,1.0876644
431,1.0868107
432,1.081699
433,1.0804998
434,1.0782887
435,1.0878692
436,1.0854881
437,1.0834306
438,1.0845656
439,1.0815219
